date,forecasted_Transaction Count,forecasted_Active Users,forecasted_Unique Users,forecasted_Gas Fees,forecasted_Total Transferred,forecasted_Net Transferred,forecasted_TVL-beefy,forecasted_TVL_opchain-beefy
2024-11-26 00:00:00,0.23597623677036575,0.1419653771015349,0.06590569309662447,3.684990952758235e-05,0.0,0.0,262854851.20604083,269428009.54719996
2024-11-27 00:00:00,0.3014007372273583,0.2962011847848256,0.09186916701433086,2.7463490373578367e-05,0.0,0.0,294109229.0848563,258759928.8712605
2024-11-28 00:00:00,0.23270496194106788,0.23486024545147335,0.052235830001937586,1.9490432599822184e-05,0.0,0.0,262532121.67789188,256831245.5166148
2024-11-29 00:00:00,0.27743318347768875,0.27680518219806793,0.06581999691202597,4.0622899442223506e-05,0.0,0.0,263854954.51278403,280610160.0675303
2024-11-30 00:00:00,0.2737636705783191,0.17853979535742417,0.0664036108683968,3.0217095346583258e-05,0.0,0.0,261059165.8756712,270142520.78451157
2024-12-01 00:00:00,0.27949040153820587,0.20247880472340796,0.058187483295881366,2.5635036216847542e-05,0.0,0.0,251510386.01765153,264586040.65408713
2024-12-02 00:00:00,0.24643974112483777,0.11581053993847719,0.054924574579827384,3.960963360119619e-05,0.0,0.0,275102461.9891821,284678807.8956662
2024-12-03 00:00:00,0.273301659569867,0.2897588908822003,0.05250715014550886,3.5110843311934615e-05,0.0,0.0,255213770.68829978,256470362.72697258
2024-12-04 00:00:00,0.24140123985264342,0.18935310970967076,0.07593730927186643,9.164186003237746e-06,0.0,0.0,274315059.2678822,262284674.74924085
2024-12-05 00:00:00,0.14136714325398095,0.2212020389165994,0.044704430655410174,4.972527023736096e-05,0.0,0.0,284988744.3738033,229293848.65453032
2024-12-06 00:00:00,0.2387853625692817,0.05950242295513417,0.03818647675908228,1.7837797024314547e-05,0.0,0.0,276412901.58739495,271625456.8895102
2024-12-07 00:00:00,0.3447528955018504,0.09424522299686945,0.04486266315963945,2.0890224615927097e-05,0.0,0.0,288639629.42761153,261273102.06219065
2024-12-08 00:00:00,0.32519087772658134,0.12374366508972501,0.06230323384741501,1.4839688430753742e-05,0.0,0.0,277967519.32807213,262431002.49660516
2024-12-09 00:00:00,0.27314902892220627,0.21548417309722853,0.06490845585374988,4.145176578891017e-05,0.0,0.0,292415459.81417054,285042288.12030923
2024-12-10 00:00:00,0.22062427696534215,0.23438912266476958,0.08133690752307354,1.8847004979119304e-05,0.0,0.0,286422156.1450666,278868191.48299855
2024-12-11 00:00:00,0.2580947507656952,0.18470547561930636,0.055547687668666856,3.809634295262612e-05,0.0,0.0,276321831.89948136,257183305.3842873
2024-12-12 00:00:00,0.1401746775278702,0.13077170605590116,0.07197364998781085,1.7784237030683233e-05,0.0,0.0,285035178.68667805,267448075.05989456
2024-12-13 00:00:00,0.1684434572786671,0.2409957477881079,0.0658198940287436,2.4192507221822975e-05,0.0,0.0,289296955.3773346,288837282.6754455
2024-12-14 00:00:00,0.22097801893341654,0.1738141469853834,0.057672766397453834,2.7315990454714767e-05,0.0,0.0,279071265.3428056,280469252.0419592
2024-12-15 00:00:00,0.28489419034832797,0.11753456946074325,0.056251499015321144,2.9338703545091833e-05,0.0,0.0,263751167.11738864,286693552.716753
2024-12-16 00:00:00,0.17281104467660252,0.2265266842731236,0.04166585228290281,4.9447389725281035e-05,0.0,0.0,281993068.3384677,250251320.69744816
2024-12-17 00:00:00,0.22972574000774387,0.19408579725147893,0.031921084378288514,2.6919287155941523e-05,0.0,0.0,262907688.9283349,256990932.5229161
2024-12-18 00:00:00,0.19834249126521072,0.1699983117250203,0.032795558146292106,2.0969949835771222e-05,0.0,0.0,280802597.57607806,268741792.4201356
2024-12-19 00:00:00,0.13576140189848784,0.4809979374229678,0.05672004755104503,1.674520067233267e-05,0.0,0.0,238670009.07440987,274711657.9350918
2024-12-20 00:00:00,0.1948516481057116,0.06169940912272858,0.04899037891464958,3.393289907403635e-05,0.0,0.0,282911028.846518,277417432.833809
2024-12-21 00:00:00,0.272193326276072,0.2806411124944408,0.03865075260073157,3.297723987288202e-05,0.0,0.0,283650718.6566758,276758037.54959625
2024-12-22 00:00:00,0.19562960298327528,0.21185915630990004,0.045235704979375506,4.334077593692572e-05,0.0,0.0,279108126.1079099,257449409.36699447
2024-12-23 00:00:00,0.2591600686171785,0.22862454732804585,0.04127376521018727,3.805954273698144e-05,0.0,0.0,262699241.58277264,255249489.4540391
2024-12-24 00:00:00,0.32871485776402376,0.20214087946907147,0.06180443002049244,2.2573582405607423e-05,0.0,0.0,269440540.1245265,264243240.0256745
2024-12-25 00:00:00,0.29277306510164114,0.1803974100445152,0.04678388288383803,4.55482220382805e-05,0.0,0.0,289538623.0816008,279793168.6383468
2024-12-25 21:58:35,0.2786816825422402,0.2901051500441323,0.037094366369956375,2.7575921437729716e-05,0.0,0.0,253458466.2711716,
2024-12-26 00:00:00,0.1565913037537397,0.201453157490118,0.03612537392321575,2.2485708839622546e-05,0.0,0.0,,
2024-12-27 00:00:00,0.26893778660917317,0.31273096405209005,0.05815082882611628,1.1925178137518405e-05,0.0,0.0,,
2024-12-28 00:00:00,0.20298088255057026,0.20207306693062735,0.04058253238542891,2.0938663082033293e-05,0.0,0.0,,
2024-12-29 00:00:00,0.30388988567196196,0.19066012337367957,0.04583547246928845,3.391533355693171e-05,0.0,0.0,,
2024-12-30 00:00:00,0.2720742490982556,0.26716936652220874,0.046665265519763424,3.027050807235318e-05,0.0,0.0,,
2024-12-31 00:00:00,0.18248115849496024,0.27754521343451977,0.042451116421589205,3.683564147590189e-05,0.0,0.0,,
2025-01-01 00:00:00,0.24767888137061278,0.32406482306522294,0.04445569203167753,3.510503150824097e-05,0.0,0.0,,
2025-01-02 00:00:00,0.2680092320128494,0.3021886102876398,0.0709639505996377,1.9374806821818978e-05,0.0,0.0,,
2025-01-03 00:00:00,0.13545214546137616,0.2084286151509557,0.04324175374803302,2.2811465408380324e-05,0.0,0.0,,
2025-01-04 00:00:00,0.24244028316832048,0.1956984114955768,0.03733624992143007,2.0980695092035466e-05,0.0,0.0,,
2025-01-05 00:00:00,0.18135197939401715,0.19872764987934818,0.055644705491142255,1.3108750950900746e-05,0.0,0.0,,
2025-01-06 00:00:00,0.2528117711856462,0.2744636659033534,0.07307460749410945,3.174495735609944e-05,0.0,0.0,,
2025-01-07 00:00:00,0.29661946167358855,0.2441804579266322,0.048560517175745006,1.8208215314642417e-05,0.0,0.0,,
2025-01-08 00:00:00,0.2422278037070315,0.12146042721661494,0.029387353418716684,3.241062075673256e-05,0.0,0.0,,
2025-01-09 00:00:00,0.32050022071796486,0.1509013238353181,0.04495520537159045,2.306907261600287e-05,0.0,0.0,,
2025-01-10 00:00:00,0.2127270624518033,0.20567915055885772,0.057143629208505325,2.4531550868552494e-05,0.0,0.0,,
2025-01-11 00:00:00,0.2777879170182474,0.2438341834636403,0.07240035259273375,1.7808718396563066e-05,0.0,0.0,,
2025-01-12 00:00:00,0.17474202412988216,0.20071659162704653,0.05409658115197167,1.759152015348132e-05,0.0,0.0,,
2025-01-13 00:00:00,0.27284918037953476,0.15041810699138505,0.06426382344511047,2.165531948770261e-05,0.0,0.0,,
2025-01-14 00:00:00,0.15327810087786184,0.2359227285886529,0.09077413714378571,2.3219508190894476e-05,0.0,0.0,,
2025-01-15 00:00:00,0.19900597861269695,0.2707129632909484,0.08869417957823583,2.8801848164695867e-05,0.0,0.0,,
2025-01-16 00:00:00,0.17511601414967984,0.2088172072994271,0.07575392696489627,3.4743959464476574e-05,0.0,0.0,,
2025-01-17 00:00:00,0.22526974854611406,0.11824455845345433,0.01548519692470047,3.8020538445898225e-05,0.0,0.0,,
2025-01-18 00:00:00,0.19797824184525706,0.1971040958705714,0.03846121189843719,3.025165109860533e-05,0.0,0.0,,
2025-01-19 00:00:00,0.22029992707025123,0.22809052273700312,0.02833715048641641,3.445273482883547e-05,0.0,0.0,,
