date,forecasted_Transaction Count,forecasted_Active Users,forecasted_Unique Users,forecasted_Gas Fees,forecasted_Total Transferred,forecasted_Net Transferred,forecasted_TVL-extra_finance_leverage_farming_protocol,forecasted_TVL_opchain-extra_finance_leverage_farming_protocol
2024-12-26 00:00:00,0.14320336633984648,0.14438938192806627,0.12578170919938525,2.7713877972905505e-25,0.0,41897843.58712985,156264793.14758423,135235456.71525788
2024-12-27 00:00:00,0.4852916905608922,0.22890831179123172,0.19289678708277358,1.0331333676134773e-09,0.0,55947254.93098419,146740130.43742204,127949182.52477218
2024-12-28 00:00:00,0.3572939417629744,0.24199160240050646,0.059276010335247035,1.2171978152532051e-09,0.0,50849937.11955965,164100610.93918046,128863081.63275836
2024-12-29 00:00:00,0.0746224319791307,0.2205721213030649,0.051739273641833505,1.0021442767244629e-09,0.0,54436887.79052674,147573732.8862555,120619932.75201866
2024-12-30 00:00:00,0.4760822448265028,0.12593418012282814,0.07397576179628337,1.013042997473345e-09,0.0,51255470.54631885,142484587.27693552,117087649.67839932
2024-12-31 00:00:00,0.5308493975140902,0.07893746061984856,0.07365841605159228,7.973830520295647e-10,0.0,39339329.66545686,139582125.00481847,117640970.25932062
2025-01-01 00:00:00,0.3604043704287214,0.054587937310178386,0.10226202265450776,1.1462910567294324e-09,0.0,38515916.709211856,147337218.00906184,110358213.4821511
2025-01-02 00:00:00,0.550545267042772,0.14311817726449677,0.22433062243950563,1.320228226760105e-09,0.0,37156082.93478237,142767941.35171932,119617227.59648757
2025-01-03 00:00:00,0.22968667399693812,0.09256772352553228,0.21396147565215312,1.0511773042062796e-09,0.0,66978020.41684042,145646096.22939092,115533768.08640336
2025-01-04 00:00:00,0.4539878247996036,0.2277691760054729,0.13435362221625616,9.844213763881108e-10,0.0,36885080.14252381,137782622.82953846,126401113.92484894
2025-01-05 00:00:00,0.3528142579366222,0.1372055551020099,0.09325642431244448,0.0,0.0,68139703.72803238,154888699.50532562,129476753.5246975
2025-01-06 00:00:00,0.28779586118729317,0.1254800894164989,0.0727278065143909,0.0,0.0,63423626.547428645,136544388.73008135,134287812.16542014
2025-01-07 00:00:00,0.23190309464744122,0.1585491346465509,0.056047650797555096,0.0,0.0,93834679.10903929,139597108.6407059,123475524.69882536
2025-01-08 00:00:00,0.3205632087953201,0.14784450121268894,0.11506095489676745,0.0,0.0,67064108.35126406,138412900.32076034,122711568.69719943
2025-01-09 00:00:00,0.15891176380652375,0.08836976930987882,0.12420059747317685,0.0,0.0,93595990.71600887,147974920.79327428,126274261.90414585
2025-01-10 00:00:00,0.18769728115446202,0.1384279304604441,0.08915761174524268,0.0,0.0,106047341.16091672,134937040.30959043,126483226.66743585
